Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
1/11/26 2:26:27 PM,Mack Wyatt,,Pitching Wedge,76.17104966553434,-3.044342041015625,-0.8921972513198853,3.850839138031006,4.743036270141602,91.85645779969441,1.205923486718831,22.585973739624023,3.0515286922454834,6810.39306640625,-410.8377685546875,6822.77392578125,Estimated,3.452191114425659,23.13519608838873,115.50968400449578,4.9287919998168945,9.924376730530907,121.2328229154919,4.965976238250732,10.494420326079387,,,1.1995717,69.99998,101.325,0
1/11/26 2:26:41 PM,Mack Wyatt,,Pitching Wedge,81.17301001579487,-3.133770227432251,-2.9807801246643066,-1.2846825122833252,1.6960976123809814,92.49162912880769,1.139438208719997,16.126705169677734,-1.4282435178756714,4779.21435546875,-172.35629272460938,4782.3212890625,Estimated,2.0654044151306152,14.867618849479829,117.2686165503421,-0.7600182890892029,-1.5555163120243076,129.0606534595773,-0.6869955658912659,-1.5480320962603846,,,1.1995717,69.99998,101.325,0
1/11/26 2:26:52 PM,Mack Wyatt,,Pitching Wedge,80.20014445442085,-3.285653591156006,4.257980823516846,-3.293088436126709,-7.551069259643555,95.2192520190753,1.1872703305813879,19.514705657958984,-2.172229290008545,6468.37646484375,705.3002319335938,6506.71484375,Estimated,-6.222846031188965,21.223448288618005,121.47201745007399,-5.1421661376953125,-10.887262389415831,128.59822571121177,-5.257621765136719,-11.783975941615468,,,1.1995717,69.99998,101.325,0
1/11/26 2:27:03 PM,Mack Wyatt,,Pitching Wedge,74.72972658248825,-4.800477027893066,2.0104780197143555,2.2330243587493896,0.22254633903503418,94.10763606055771,1.2593065753650219,21.097707748413086,2.085822105407715,5495.15283203125,-7.700445652008057,5495.158203125,Estimated,0.08028944581747055,22.10148989059168,122.51269055998128,2.3139302730560303,4.946385573005843,130.727948166254,2.298909902572632,5.24376008141385,,,1.1995717,69.99998,101.325,0
1/11/26 2:27:14 PM,Mack Wyatt,,Pitching Wedge,71.517095961738,-1.2775936126708984,2.79681658744812,-5.868616580963135,-8.665432929992676,87.02423202197895,1.216831176541863,17.452037811279297,-4.4706573486328125,4391.51904296875,710.8320922851562,4448.6767578125,Estimated,-9.19442081451416,13.607174079874994,107.50926594304497,-7.725451946258545,-14.452080088337576,119.78539060524234,-7.992298126220703,-16.654992666770156,,,1.1995717,69.99998,101.325,0
1/11/26 2:27:23 PM,Mack Wyatt,,Pitching Wedge,77.97174993035789,-4.624453544616699,-1.3676495552062988,4.8859782218933105,6.253627777099609,90.51035708329809,1.1608096158434218,22.06245231628418,3.8423235416412354,7343.16748046875,-555.5797729492188,7364.15478515625,Estimated,4.326722145080566,21.93858512951842,112.04076251332842,6.188430309295654,12.07782944773543,117.53457737719918,6.235833644866943,12.766703741652655,,,1.1995717,69.99998,101.325,0
1/11/26 2:27:34 PM,Mack Wyatt,,Pitching Wedge,81.55530746612877,-5.240504741668701,3.5026423931121826,2.82967209815979,-0.6729702949523926,94.98964827147739,1.1647267507504415,21.418859481811523,2.762632131576538,7097.2353515625,82.53986358642578,7097.71533203125,Estimated,-0.6663119196891785,23.775396906067588,119.85541015785198,2.762367010116577,5.776324714366949,125.71122911241319,2.7302212715148926,5.988010375622793,,,1.1995717,69.99998,101.325,0
1/11/26 2:27:44 PM,Mack Wyatt,,Pitching Wedge,76.95143958373674,-5.174045562744141,-1.349055290222168,-0.249273881316185,1.0997813940048218,95.07689206362966,1.235544033717124,22.21225929260254,-0.3735624849796295,6391.98046875,-102.66313171386719,6392.80517578125,Estimated,0.9201622009277344,24.470060620512342,121.84286576452114,0.0,0.006040771697971348,128.19423658849894,0.01978234015405178,0.050570628396378,,,1.1995717,69.99998,101.325,0
1/11/26 2:27:54 PM,Mack Wyatt,,Pitching Wedge,78.63058391945142,-6.11003303527832,0.445745050907135,-1.3755642175674438,-1.8213093280792236,88.51045698631467,1.1256492394484074,19.509422302246094,-1.074144959449768,7199.205078125,163.44711303710938,7201.06005859375,Estimated,-1.300591230392456,18.103306270542628,108.49233478803126,-1.7129220962524414,-3.2432287383893033,115.52506127278218,-1.7343807220458984,-3.4965409172905817,,,1.1995717,69.99998,101.325,0
